n_ref	model	mean_mcc	sd_mcc
1	kNN	0.8	0.26
2	kNN	0.83	0.26
3	kNN	0.88	0.2
4	kNN	0.84	0.24
5	kNN	0.86	0.24
6	kNN	0.89	0.19
1	Random Forest	0.74	0.31
2	Random Forest	0.81	0.26
3	Random Forest	0.8	0.31
4	Random Forest	0.81	0.3
5	Random Forest	0.81	0.3
6	Random Forest	0.81	0.3
1	SVM	0.72	0.28
2	SVM	0.77	0.28
3	SVM	0.79	0.28
4	SVM	0.8	0.27
5	SVM	0.8	0.28
6	SVM	0.8	0.28
