""	Mean	Stdev	output
BARA	0.751	0.248	0.75 ± 0.25
Combat	0.494	0.328	0.49 ± 0.33
FAbatch	0.476	0.261	0.48 ± 0.26
fSVA exact	0.336	0.276	0.34 ± 0.28
Mean centered	0.541	0.272	0.54 ± 0.27
None	0.373	0.27	0.37 ± 0.27
Ratio A	0.172	0.089	0.17 ± 0.09
ref-Centered	0.486	0.297	0.49 ± 0.30
ref-Ratio A	0.343	0.144	0.34 ± 0.14
Standardized	0.532	0.313	0.53 ± 0.31
