""	Mean	Stdev	output
BARA	0.74	0.293	0.74 ± 0.29
Combat	0.465	0.341	0.46 ± 0.34
FAbatch	0.551	0.29	0.55 ± 0.29
fSVA exact	0.702	0.328	0.70 ± 0.33
Mean centered	0.514	0.311	0.51 ± 0.31
None	0.728	0.323	0.73 ± 0.32
Ratio A	0.49	0.358	0.49 ± 0.36
ref-Centered	0.687	0.308	0.69 ± 0.31
ref-Ratio A	0.702	0.326	0.70 ± 0.33
Standardized	0.56	0.329	0.56 ± 0.33
