""	Mean	Stdev	output
BARA	0.876	0.2	0.88 ± 0.20
Combat	0.802	0.298	0.80 ± 0.30
FAbatch	0.65	0.236	0.65 ± 0.24
fSVA exact	0.823	0.272	0.82 ± 0.27
Mean centered	0.822	0.263	0.82 ± 0.26
None	0.812	0.297	0.81 ± 0.30
Ratio A	0.036	0.073	0.04 ± 0.07
ref-Centered	0.859	0.21	0.86 ± 0.21
ref-Ratio A	0.203	0.255	0.20 ± 0.26
Standardized	0.598	0.304	0.60 ± 0.30
