""	Mean	Stdev	output
BARA	0.785	0.28	0.78 ± 0.28
Combat	0.572	0.356	0.57 ± 0.36
FAbatch	0.543	0.274	0.54 ± 0.27
fSVA exact	0.386	0.293	0.39 ± 0.29
Mean centered	0.604	0.309	0.60 ± 0.31
None	0.434	0.29	0.43 ± 0.29
Ratio A	0.197	0.099	0.20 ± 0.10
ref-Centered	0.514	0.314	0.51 ± 0.31
ref-Ratio A	0.368	0.162	0.37 ± 0.16
Standardized	0.593	0.348	0.59 ± 0.35
